"","X","ticker","company","sector","industry","esgRating","esgScore.tot","esgScore.env","esgScore.soc","esgScore.gov","esgRank.tot","asOf","mktCap","Price","Price.Earnings","Dividend.Yield","Earnings.Share","X52.Week.Low","X52.Week.High","Market.Cap","EBITDA","Price.Sales","Price.Book","SEC.Filings"
"52",90,"CAT","Caterpillar Inc.","Industrials","Construction Machinery & Heavy Trucks","Severe",39,11,20,9,0.83,"2021-03-03",117687517184,145.99,21.22,2.0215108,1.26,173.24,90.34,91822049046,8.136e+09,2.0468428,5.75,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT"
"53",91,"CBOE","Cboe Global Markets","Financials","Financial Exchanges & Data","Negligible",19,3,7,9,0.17,"2021-03-03",10465840128,111.15,35.06,0.9426963,2.27,138.54,76.75,12998295607,488406000,8.249042,5.15,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE"
"54",96,"CNP","CenterPoint Energy","Utilities","Multi-Utilities","Severe",36,18,12,6,0.75,"2021-03-03",10794421248,25.85,19.73,4.2109256,1,30.45,25.51,11362043297,2.337e+09,1.6262617,3.21,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP"
"55",97,"CERN","Cerner","Health Care","Health Care Technology","Negligible",20,0,13,7,0.2,"2021-03-03",21321125888,61.22,27.09,0,1.84,73.86,51.2617,21101697598,1523440000,5.5560412,4.62,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CERN"
"56",98,"CF","CF Industries Holdings Inc","Materials","Fertilizers & Agricultural Chemicals","Severe",33,19,9,5,0.67,"2021-03-03",9853501440,37.46,-59.46,3.0395136,-1.2,43.98,25.04,9209106695,7.11e+08,3.0044448,2.81,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF"
"57",105,"CI","Cigna","Health Care","Managed Health Care","Negligible",14,0,8,6,0.06,"2021-03-03",76953837568,189.27,18.11,0.020466639,7.2,227.13,141.93,47680910480,0,1.550762,3.39,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CI"
"58",108,"CSCO","Cisco Systems","Information Technology","Communications Equipment","Negligible",13,1,6,6,0.04,"2021-03-03",192154763264,38.77,17.87,2.8755577,1.91,42.98,30.36,199425716482,1.5447e+10,5.484418,3.07,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSCO"
"59",111,"CTXS","Citrix Systems","Information Technology","Application Software","Negligible",18,1,11,6,0.15,"2021-03-03",16811637760,84.53,20.37,0,-0.24,95,73.3346,13199167493,810268000,4.7538714,6.73,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTXS"
"60",113,"CME","CME Group Inc.","Financials","Financial Exchanges & Data","Negligible",15,2,7,6,0.07,"2021-03-03",74185211904,153.04,32.15,3.6828613,11.94,163,114.8176,54423298745,2851800000,14.881806,2.51,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CME"
"61",118,"CMCSA","Comcast Corp.","Communication Services","Cable & Satellite","Negligible",19,1,9,9,0.19,"2021-03-03",248500813824,38.19,18.54,1.8929017,4.74,44,34.78,186476996883,2.8675e+10,2.1797748,2.65,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMCSA"
"62",120,"CAG","Conagra Brands","Consumer Staples","Packaged Foods & Meats","Severe",32,10,16,5,0.64,"2021-03-03",16763146240,35.49,18.2,2.3683476,1.46,41.68,32.16,14379717835,1281200000,1.8294994,3.86,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAG"
"63",121,"COP","ConocoPhillips","Energy","Oil & Gas Exploration & Production","Severe",35,19,10,7,0.75,"2021-03-03",70825279488,53.24,72.93,2.049254,-0.65,61.315,42.265,65482462410,5.328e+09,2.0764177,2.16,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COP"
"64",126,"GLW","Corning Inc.","Information Technology","Electronic Components","Negligible",20,8,5,7,0.21,"2021-03-03",29766578176,28.45,16.45,2.0791416,-0.78,35.1,26.31,25759280346,2.97e+09,2.544682,1.71,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GLW"
"65",129,"CCI","Crown Castle","Real Estate","Specialized REITs","Negligible",18,9,4,5,0.16,"2021-03-03",66059747328,103.81,21.45,3.862069,1.02,114.97,86.93,44183023189,2292600000,10.125291,3.54,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCI"
"66",130,"CSX","CSX Corp.","Industrials","Railroads","Negligible",18,5,9,4,0.16,"2021-03-03",70272466944,50.47,21.94,1.5102888,6.07,60.04,45.41,47340511707,5.003e+09,4.216355,4.27,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSX"
"67",131,"CMI","Cummins Inc.","Industrials","Industrial Machinery","Negligible",18,4,8,6,0.14,"2021-03-03",38048514048,165.73,16.83,2.5008683,8.23,194.18,143.8301,28669230787,2.924e+09,1.9406168,3.89,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMI"
"68",134,"DHR","Danaher Corp.","Health Care","Health Care Equipment","Severe",33,5,18,10,0.67,"2021-03-03",159597805568,92.16,22.87,0.5879265,3.53,104.82,78.97,66351150000,4339800000,3.688278,2.65,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHR"
