"","ticker","company","sector","industry","esgRating","esgScore.tot","esgScore.env","esgScore.soc","esgScore.gov","esgRank.tot","esgRank.env","esgRank.soc","esgRank.gov","conRating","conLevel","conAreas","asOf","mktCap"
"285","LDOS","Leidos Holdings","Information Technology","IT Consulting & Other Services","Negligible",14,1,7,6,0.05,NA,NA,NA,NA,NA,NA,2021-03-03,12776226816
"286","LEN","Lennar Corp.","Consumer Discretionary","Homebuilding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25707472896
"287","LLY","Lilly (Eli) & Co.","Health Care","Pharmaceuticals","Severe",31,2,18,11,0.6,NA,NA,NA,NA,NA,NA,2021-03-03,195653074944
"288","LNC","Lincoln National","Financials","Multi-line Insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11039504384
"289","LIN","Linde plc","Materials","Industrial Gases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133318918144
"290","LYV","Live Nation Entertainment","Communication Services","Movies & Entertainment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19748517888
"291","LKQ","LKQ Corporation","Consumer Discretionary","Distributors","Negligible",14,5,5,4,0.06,NA,NA,NA,NA,NA,NA,2021-03-03,12093048832
"292","LMT","Lockheed Martin Corp.","Industrials","Aerospace & Defense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94840078336
"293","L","Loews Corp.","Financials","Multi-line Insurance","Negligible",15,1,3,11,0.08,NA,NA,NA,NA,NA,NA,2021-03-03,13186781184
"294","LOW","Lowe's Cos.","Consumer Discretionary","Home Improvement Retail","Negligible",13,4,5,3,0.04,NA,NA,NA,NA,NA,NA,2021-03-03,119189553152
"295","LUMN","Lumen Technologies","Communication Services","Alternative Carriers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14094523392
"296","LYB","LyondellBasell","Materials","Specialty Chemicals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36052951040
"297","MTB","M&T Bank","Financials","Regional Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19888566272
"298","MRO","Marathon Oil Corp.","Energy","Oil & Gas Exploration & Production",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8861323264
"299","MPC","Marathon Petroleum","Energy","Oil & Gas Refining & Marketing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36490936320
"300","MKTX","MarketAxess","Financials","Financial Exchanges & Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21995067392
"301","MAR","Marriott International","Consumer Discretionary","Hotels, Resorts & Cruise Lines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48321466368
"302","MMC","Marsh & McLennan","Financials","Insurance Brokers","Negligible",19,0,8,11,0.19,NA,NA,NA,NA,NA,NA,2021-03-03,58929364992
"303","MLM","Martin Marietta Materials","Materials","Construction Materials","Severe",31,18,5,9,0.62,NA,NA,NA,NA,NA,NA,2021-03-03,20965113856
"304","MAS","Masco Corp.","Industrials","Building Products","Negligible",20,11,3,6,0.2,NA,NA,NA,NA,NA,NA,2021-03-03,13883097088
"305","MA","Mastercard Inc.","Information Technology","Data Processing & Outsourced Services","Negligible",16,0,8,9,0.1,NA,NA,NA,NA,NA,NA,2021-03-03,360411594752
"306","MKC","McCormick & Co.","Consumer Staples","Packaged Foods & Meats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22655395840
"307","MXIM","Maxim Integrated Products","Information Technology","Semiconductors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24828637184
"308","MCD","McDonald's Corp.","Consumer Discretionary","Restaurants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155578499072
"309","MCK","McKesson Corp.","Health Care","Health Care Distributors","Negligible",16,2,9,5,0.1,NA,NA,NA,NA,NA,NA,2021-03-03,27650492416
"310","MDT","Medtronic plc","Health Care","Health Care Equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158826283008
"311","MRK","Merck & Co.","Health Care","Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184333795328
"312","MET","MetLife Inc.","Financials","Life & Health Insurance","Negligible",19,1,8,9,0.16,NA,NA,NA,NA,NA,NA,2021-03-03,52144160768
"313","MTD","Mettler Toledo","Health Care","Life Sciences Tools & Services","Negligible",11,1,5,6,0.02,NA,NA,NA,NA,NA,NA,2021-03-03,26277117952
"314","MGM","MGM Resorts International","Consumer Discretionary","Casinos & Gaming",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19071635456
"315","MCHP","Microchip Technology","Information Technology","Semiconductors","Severe",34,16,9,9,0.71,NA,NA,NA,NA,NA,NA,2021-03-03,40952057856
"316","MU","Micron Technology","Information Technology","Semiconductors","Severe",32,15,9,7,0.63,NA,NA,NA,NA,NA,NA,2021-03-03,101899640832
"317","MSFT","Microsoft Corp.","Information Technology","Systems Software","Negligible",15,0,9,5,0.07,NA,NA,NA,NA,NA,NA,2021-03-03,1763898949632
"318","MAA","Mid-America Apartments","Real Estate","Residential REITs","Negligible",19,6,7,6,0.17,NA,NA,NA,NA,NA,NA,2021-03-03,15476832256
"319","MHK","Mohawk Industries","Consumer Discretionary","Home Furnishings","Negligible",14,5,5,4,0.07,NA,NA,NA,NA,NA,NA,2021-03-03,12744686592
"320","TAP","Molson Coors Beverage Company","Consumer Staples","Brewers","Negligible",19,6,7,6,0.16,NA,NA,NA,NA,NA,NA,2021-03-03,9763122176
"321","MDLZ","Mondelez International","Consumer Staples","Packaged Foods & Meats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75802058752
"322","MPWR","Monolithic Power Systems","Information Technology","Semiconductors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16775044096
"323","MNST","Monster Beverage","Consumer Staples","Soft Drinks","Severe",32,14,12,6,0.65,NA,NA,NA,NA,NA,NA,2021-03-03,45881065472
"324","MCO","Moody's Corp","Financials","Financial Exchanges & Data","Negligible",12,0,6,6,0.03,NA,NA,NA,NA,NA,NA,2021-03-03,52599422976
"325","MS","Morgan Stanley","Financials","Investment Banking & Brokerage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146516705280
"326","MOS","The Mosaic Company","Materials","Fertilizers & Agricultural Chemicals","Severe",35,15,12,8,0.74,NA,NA,NA,NA,NA,NA,2021-03-03,11839074304
"327","MSI","Motorola Solutions Inc.","Information Technology","Communications Equipment","Negligible",14,2,7,5,0.07,NA,NA,NA,NA,NA,NA,2021-03-03,30397995008
"328","MSCI","MSCI Inc","Financials","Financial Exchanges & Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34583068672
"329","NDAQ","Nasdaq, Inc.","Financials","Financial Exchanges & Data","Negligible",15,2,7,7,0.08,NA,NA,NA,NA,NA,NA,2021-03-03,23176908800
"330","NTAP","NetApp","Information Technology","Technology Hardware, Storage & Peripherals","Negligible",16,3,8,6,0.1,NA,NA,NA,NA,NA,NA,2021-03-03,14234091520
"331","NFLX","Netflix Inc.","Communication Services","Movies & Entertainment","Negligible",18,0,8,10,0.15,NA,NA,NA,NA,NA,NA,2021-03-03,242626740224
"332","NWL","Newell Brands","Consumer Discretionary","Housewares & Specialties","Negligible",16,7,5,4,0.1,NA,NA,NA,NA,NA,NA,2021-03-03,10211630080
"333","NEM","Newmont Corporation","Materials","Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45457833984
"334","NWSA","News Corp (Class A)","Communication Services","Publishing","Negligible",14,0,6,9,0.07,NA,NA,NA,NA,NA,NA,2021-03-03,13842637824
"335","NWS","News Corp (Class B)","Communication Services","Publishing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13885548544
"336","NEE","NextEra Energy","Utilities","Multi-Utilities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148048576512
"337","NLSN","Nielsen Holdings","Industrials","Research & Consulting Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8905442304
"338","NKE","Nike, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Negligible",15,2,6,7,0.07,NA,NA,NA,NA,NA,NA,2021-03-03,216010670080
"339","NI","NiSource Inc.","Utilities","Multi-Utilities","Severe",32,15,11,7,0.65,NA,NA,NA,NA,NA,NA,2021-03-03,8530792448
"340","NSC","Norfolk Southern Corp.","Industrials","Railroads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64585199616
"341","NTRS","Northern Trust Corp.","Financials","Asset Management & Custody Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20268953600
"342","NOC","Northrop Grumman","Industrials","Aerospace & Defense","Severe",31,9,17,5,0.59,NA,NA,NA,NA,NA,NA,2021-03-03,49812004864
"343","NLOK","NortonLifeLock","Information Technology","Application Software","Negligible",17,1,10,5,0.12,NA,NA,NA,NA,NA,NA,2021-03-03,11603105792
"344","NCLH","Norwegian Cruise Line Holdings","Consumer Discretionary","Hotels, Resorts & Cruise Lines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9844836352
"345","NOV","NOV Inc.","Energy","Oil & Gas Equipment & Services","Severe",35,13,13,9,0.73,NA,NA,NA,NA,NA,NA,2021-03-03,5823164928
"346","NRG","NRG Energy","Utilities","Independent Power Producers & Energy Traders","Severe",32,17,9,6,0.63,NA,NA,NA,NA,NA,NA,2021-03-03,9592999936
"347","NUE","Nucor Corp.","Materials","Steel","Severe",37,15,14,9,0.79,NA,NA,NA,NA,NA,NA,2021-03-03,18422224896
"348","NVDA","Nvidia Corporation","Information Technology","Semiconductors","Negligible",13,2,4,7,0.05,NA,NA,NA,NA,NA,NA,2021-03-03,332475006976
"349","NVR","NVR, Inc.","Consumer Discretionary","Homebuilding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17146788864
"350","ORLY","O'Reilly Automotive","Consumer Discretionary","Specialty Stores","Negligible",12,0,8,4,0.04,NA,NA,NA,NA,NA,NA,2021-03-03,31688497152
"351","OXY","Occidental Petroleum","Energy","Oil & Gas Exploration & Production","Severe",37,20,11,7,0.79,NA,NA,NA,NA,NA,NA,2021-03-03,25915860992
"352","ODFL","Old Dominion Freight Line","Industrials","Trucking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26007959552
"353","OMC","Omnicom Group","Communication Services","Advertising","Negligible",18,0,10,8,0.15,NA,NA,NA,NA,NA,NA,2021-03-03,15403602944
"354","OKE","Oneok","Energy","Oil & Gas Storage & Transportation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20865300480
"355","ORCL","Oracle Corp.","Information Technology","Application Software","Negligible",18,0,11,7,0.15,NA,NA,NA,NA,NA,NA,2021-03-03,196249042944
"356","OTIS","Otis Worldwide","Industrials","Industrial Machinery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28366422016
"357","PCAR","Paccar","Industrials","Construction Machinery & Heavy Trucks","Severe",35,8,17,9,0.73,NA,NA,NA,NA,NA,NA,2021-03-03,32674525184
"358","PKG","Packaging Corporation of America","Materials","Paper Packaging","Negligible",20,13,2,4,0.2,NA,NA,NA,NA,NA,NA,2021-03-03,12935515136
"359","PH","Parker-Hannifin","Industrials","Industrial Machinery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38204104704
"360","PAYX","Paychex Inc.","Information Technology","Data Processing & Outsourced Services","Negligible",16,0,9,7,0.1,NA,NA,NA,NA,NA,NA,2021-03-03,33228539904
"361","PAYC","Paycom","Information Technology","Application Software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22884270080
"362","PYPL","PayPal","Information Technology","Data Processing & Outsourced Services","Negligible",18,0,11,6,0.14,NA,NA,NA,NA,NA,NA,2021-03-03,315269971968
"363","PNR","Pentair plc","Industrials","Industrial Machinery","Severe",33,10,16,8,0.69,NA,NA,NA,NA,NA,NA,2021-03-03,9581892608
"364","PBCT","People's United Financial","Financials","Thrifts & Mortgage Finance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7723278336
"365","PEP","PepsiCo Inc.","Consumer Staples","Soft Drinks","Negligible",18,5,8,5,0.14,NA,NA,NA,NA,NA,NA,2021-03-03,180825489408
"366","PKI","PerkinElmer","Health Care","Health Care Equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14280044544
"367","PRGO","Perrigo","Health Care","Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5744906752
"368","PFE","Pfizer Inc.","Health Care","Pharmaceuticals","Severe",30,2,16,12,0.57,NA,NA,NA,NA,NA,NA,2021-03-03,186906378240
"369","PM","Philip Morris International","Consumer Staples","Tobacco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132492271616
"370","PSX","Phillips 66","Energy","Oil & Gas Refining & Marketing","Severe",32,18,8,5,0.63,NA,NA,NA,NA,NA,NA,2021-03-03,35945902080
